TGNR	code_count	codes	run_accession	sample_accession	experiment_accession	inferred_year	has_medianpeaks	csv_file_count
721467-18	0		ERR10177562	SAMEA111331834	ERX9714031	2018	True	4
721474-18	0		ERR10177563	SAMEA111331835	ERX9714032	2018	True	4
721483-18	0		ERR10177564	SAMEA111331836	ERX9714033	2018	True	4
721487-18	0		ERR10177565	SAMEA111331837	ERX9714034	2018	True	4
721500-18	0		ERR10177566	SAMEA111331838	ERX9714035	2018	True	4
721513-18	0		ERR10177567	SAMEA111331839	ERX9714036	2018	True	4
721536-18	0		ERR10176502	SAMEA111331840	ERX9712971	2018	True	4
721547-18	0		ERR10176503	SAMEA111331841	ERX9712972	2018	True	4
721553-18	0		ERR10176504	SAMEA111331842	ERX9712973	2018	True	4
721589-18	0		ERR10176505	SAMEA111331843	ERX9712974	2018	True	4
721595-18	0		ERR10176506	SAMEA111331844	ERX9712975	2018	True	4
721596-18	0		ERR10176507	SAMEA111331845	ERX9712976	2018	True	4
721600-18	0		ERR10176509	SAMEA111331847	ERX9712978	2018	True	4
721640-18	0		ERR10176511	SAMEA111331849	ERX9712980	2018	True	4
721641-18	0		ERR10176512	SAMEA111331850	ERX9712981	2018	True	4
721644-18	0		ERR10176513	SAMEA111331851	ERX9712982	2018	True	4
721649-18	0		ERR10176514	SAMEA111331852	ERX9712983	2018	True	4
721656-18	0		ERR10176515	SAMEA111331853	ERX9712984	2018	True	4
721662-18	0		ERR10176516	SAMEA111331854	ERX9712985	2018	True	4
721669-18	0		ERR10176517	SAMEA111331855	ERX9712986	2018	True	4
721672-18	0		ERR10176518	SAMEA111331856	ERX9712987	2018	True	4
721680-18	0		ERR10176520	SAMEA111331858	ERX9712989	2018	True	4
721681-18	0		ERR10176521	SAMEA111331859	ERX9712990	2018	True	4
721705-18	0		ERR10176522	SAMEA111331860	ERX9712991	2018	True	4
721719-18	0		ERR10176523	SAMEA111331861	ERX9712992	2018	True	4
721740-18	0		ERR10176525	SAMEA111331863	ERX9712994	2018	True	4
721757-18	0		ERR10176526	SAMEA111331864	ERX9712995	2018	True	4
721759-18	0		ERR10176527	SAMEA111331865	ERX9712996	2018	True	4
721773-18	0		ERR10176528	SAMEA111331866	ERX9712997	2018	True	4
721786-18	0		ERR10176529	SAMEA111331867	ERX9712998	2018	True	4
721789-18	0		ERR10176530	SAMEA111331868	ERX9712999	2018	True	4
721792-18	0		ERR10176531	SAMEA111331869	ERX9713000	2018	True	4
721794-18	0		ERR10176532	SAMEA111331870	ERX9713001	2018	True	4
721814-18	0		ERR10176533	SAMEA111331871	ERX9713002	2018	True	4
721834-18	0		ERR10176534	SAMEA111331872	ERX9713003	2018	True	4
721861-18	0		ERR10176537	SAMEA111331875	ERX9713006	2018	True	4
721862-18	0		ERR10176538	SAMEA111331876	ERX9713007	2018	True	4
721894-18	0		ERR10176542	SAMEA111331880	ERX9713011	2018	True	4
721899-18	0		ERR10176543	SAMEA111331881	ERX9713012	2018	True	5
721901-18	0		ERR10176544	SAMEA111331882	ERX9713013	2018	True	4
721911-18	0		ERR10176545	SAMEA111331883	ERX9713014	2018	True	4
721916-18	0		ERR10176549	SAMEA111331887	ERX9713018	2018	True	4
721925-18	0		ERR10176550	SAMEA111331888	ERX9713019	2018	True	4
721930-18	0		ERR10176551	SAMEA111331889	ERX9713020	2018	True	4
721943-18	0		ERR10176554	SAMEA111331892	ERX9713023	2018	True	8
721950-18	0		ERR10176556	SAMEA111331894	ERX9713025	2018	True	4
721955-18	0		ERR10176557	SAMEA111331895	ERX9713026	2018	True	4
721956-18	0		ERR10176558	SAMEA111331896	ERX9713027	2018	True	4
721961-18	0		ERR10176559	SAMEA111331897	ERX9713028	2018	True	4
721965-18	0		ERR10176560	SAMEA111331898	ERX9713029	2018	True	4
721975-18	0		ERR10176561	SAMEA111331899	ERX9713030	2018	True	4
721985-18	0		ERR10176562	SAMEA111331900	ERX9713031	2018	True	4
721990-18	0		ERR10176563	SAMEA111331901	ERX9713032	2018	True	5
721995-18	0		ERR10176564	SAMEA111331902	ERX9713033	2018	True	4
722009-18	0		ERR10176565	SAMEA111331903	ERX9713034	2018	True	4
722011-18	0		ERR10176566	SAMEA111331904	ERX9713035	2018	True	4
722018-18	0		ERR10176567	SAMEA111331905	ERX9713036	2018	True	4
722035-18	0		ERR10176568	SAMEA111331906	ERX9713037	2018	True	4
722046-18	0		ERR10176569	SAMEA111331907	ERX9713038	2018	True	4
722053-18	0		ERR10176570	SAMEA111331908	ERX9713039	2018	True	4
722066-18	0		ERR10176571	SAMEA111331909	ERX9713040	2018	True	4
722072-18	0		ERR10176572	SAMEA111331910	ERX9713041	2018	True	4
722099-18	0		ERR10176573	SAMEA111331911	ERX9713042	2018	True	4
722117-18	0		ERR10176574	SAMEA111331912	ERX9713043	2018	True	4
722706-18	0		ERR10176575	SAMEA111331913	ERX9713044	2018	True	4
722798-18	0		ERR10176576	SAMEA111331914	ERX9713045	2018	True	4
