archive_path	file_stem	resolved_isolate_id	resolution_method	matches_wgs
csv_median/721171_18_C12.csv	721171_18_C12	721171-18	numeric_tgnr	True
csv_median/722099_18_B10.csv	722099_18_B10	722099-18	numeric_tgnr	True
csv_median/720033_18_F3.csv	720033_18_F3	720033-18	numeric_tgnr	True
csv_median/130059_18_G7.csv	130059_18_G7	130059-18	numeric_tgnr	True
csv_median/721334_18_C3.csv	721334_18_C3	721334-18	numeric_tgnr	True
csv_median/720748_18_A4.csv	720748_18_A4	720748-18	numeric_tgnr	True
csv_median/719349_18_A6_2.csv	719349_18_A6_2	719349-18	numeric_tgnr	True
csv_median/721925_18_G5.csv	721925_18_G5	721925-18	numeric_tgnr	True
csv_median/720641_18_D11.csv	720641_18_D11	720641-18	numeric_tgnr	True
csv_median/c2267556_df42_44a8_969f_47b1006d267d_E12.csv	c2267556_df42_44a8_969f_47b1006d267d_E12	129950-18	uuid_mapped	True
csv_median/707690_18_C6.csv	707690_18_C6	707690-18	numeric_tgnr	True
csv_median/120125_18_F12.csv	120125_18_F12	120125-18	numeric_tgnr	True
csv_median/721834_18_E6.csv	721834_18_E6	721834-18	numeric_tgnr	True
csv_median/115309_18_A2.csv	115309_18_A2	115309-18	numeric_tgnr	True
csv_median/720212_18_E10.csv	720212_18_E10	720212-18	numeric_tgnr	True
csv_median/721975_18_D2.csv	721975_18_D2	721975-18	numeric_tgnr	True
csv_median/9afb968c_0943_473e_bee0_ad75a97589f0_A5.csv	9afb968c_0943_473e_bee0_ad75a97589f0_A5	712328-18	uuid_mapped	True
csv_median/701758_19_G2.csv	701758_19_G2	701758-19	numeric_tgnr	True
csv_median/722066_18_B1.csv	722066_18_B1	722066-18	numeric_tgnr	True
csv_median/720829_18_C6.csv	720829_18_C6	720829-18	numeric_tgnr	True
csv_median/721264_18_A10.csv	721264_18_A10	721264-18	numeric_tgnr	True
csv_median/8f883d1d_68c6_4842_81ee_2e56330abd34_B7.csv	8f883d1d_68c6_4842_81ee_2e56330abd34_B7	130912-18	uuid_mapped	True
csv_median/122551_18_A3.csv	122551_18_A3	122551-18	numeric_tgnr	True
csv_median/119247_18_F4.csv	119247_18_F4	119247-18	numeric_tgnr	True
csv_median/123955_18_B2.csv	123955_18_B2	123955-18	numeric_tgnr	True
csv_median/700078_19_F8.csv	700078_19_F8	700078-19	numeric_tgnr	True
csv_median/711963_18_B8.csv	711963_18_B8	711963-18	numeric_tgnr	True
csv_median/719833_18_A11.csv	719833_18_A11	719833-18	numeric_tgnr	True
