threshold,site,organism,drug,raw_auc,raw_auc_ci_low,raw_auc_ci_high,raw_aupr,matched_auc,matched_auc_ci_low,matched_auc_ci_high,matched_aupr,stratum_centered_auc,stratum_centered_auc_ci_low,stratum_centered_auc_ci_high,pairwise_accuracy,pairwise_comparisons,permutation_p,permutation_null_mean,permutation_null_std,matched_retention,adequacy_label,interpretation_category,n_total,n_r,n_matched,n_matched_r,n_valid_strata,min_pos_per_stratum,min_neg_per_stratum,match_year
5,DRIAMS-B,Escherichia coli,Amoxicillin-Clavulanic acid,0.6942682780902237,nan,nan,0.5112683651218538,0.5760157273918742,nan,nan,0.13655727402644907,0.5760157273918742,nan,nan,0.5760157273918742,1526,nan,nan,nan,0.6212121212121212,interpretable,partially_retained_or_uncertain,198,61,123,14,1,5,5,False
5,DRIAMS-B,Escherichia coli,Cefepime,0.7532147742818057,nan,nan,0.47026899415622664,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,0.0,not_interpretable_no_valid_strata,insufficient_matched_overlap,213,43,0,0,0,5,5,False
5,DRIAMS-B,Escherichia coli,Ceftazidime,0.734920634920635,nan,nan,0.49985026266410326,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,0.0,not_interpretable_no_valid_strata,insufficient_matched_overlap,213,45,0,0,0,5,5,False
5,DRIAMS-B,Escherichia coli,Ceftriaxone,0.7431216931216931,nan,nan,0.5102489041779358,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,0.0,not_interpretable_no_valid_strata,insufficient_matched_overlap,213,45,0,0,0,5,5,False
5,DRIAMS-B,Escherichia coli,Ciprofloxacin,0.7737348858038513,nan,nan,0.6329391546494088,0.86,nan,nan,0.9630116462914451,0.86,nan,nan,0.86,100,nan,nan,nan,0.1179245283018868,caution_low_n_matched,caution_low_matched_support,212,58,25,20,1,5,5,False
5,DRIAMS-B,Escherichia coli,Norfloxacin,0.7026415870079145,nan,nan,0.6131207854268762,0.3431192660550459,nan,nan,0.038575095200673516,0.3431192660550459,nan,nan,0.3431192660550459,545,nan,nan,nan,0.5428571428571428,interpretable,background_driven_collapse,210,69,114,5,1,5,5,False
5,DRIAMS-C,Escherichia coli,Amoxicillin-Clavulanic acid,0.5354425465838509,nan,nan,0.2918665769707062,0.5749880354151711,nan,nan,0.2889438186823786,0.5114261785116057,nan,nan,0.4856002633094709,24306,nan,nan,nan,0.8481152993348116,interpretable,weak_raw_signal,902,230,765,168,7,5,5,False
5,DRIAMS-C,Escherichia coli,Cefepime,0.6482479303454182,nan,nan,0.3005193196517142,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,0.0,not_interpretable_no_valid_strata,insufficient_matched_overlap,609,113,0,0,0,5,5,False
5,DRIAMS-C,Escherichia coli,Ceftazidime,0.6092561581424067,nan,nan,0.23266700229192278,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,0.0,not_interpretable_no_valid_strata,insufficient_matched_overlap,908,139,0,0,0,5,5,False
5,DRIAMS-C,Escherichia coli,Ceftriaxone,0.6232997703585939,nan,nan,0.2856466513286074,0.7714285714285715,nan,nan,0.43342670401493927,0.7714285714285715,nan,nan,0.7714285714285715,105,nan,nan,nan,0.028477546549835708,caution_low_n_matched_and_low_retention,caution_low_matched_support,913,148,26,5,1,5,5,False
