sensitivity_threshold,site,organism,drug,raw_auc,raw_auc_ci_low,raw_auc_ci_high,raw_aupr,matched_auc,matched_auc_ci_low,matched_auc_ci_high,matched_aupr,stratum_centered_auc,stratum_centered_auc_ci_low,stratum_centered_auc_ci_high,pairwise_accuracy,pairwise_comparisons,permutation_p,permutation_null_mean,permutation_null_std,matched_retention,adequacy_label,interpretation_category,n_total,n_r,n_matched,n_matched_r,n_valid_strata,min_pos_per_stratum,min_neg_per_stratum,match_year
5,DRIAMS-B,Staphylococcus aureus,Clindamycin,0.564178,,,0.183126,,,,,,,,,0,,,,0,not_interpretable_no_valid_strata,insufficient_matched_overlap,348,37,0,0,0,5,5,False
5,DRIAMS-B,Staphylococcus aureus,Erythromycin,0.577585,,,0.187185,,,,,,,,,0,,,,0,not_interpretable_no_valid_strata,insufficient_matched_overlap,347,38,0,0,0,5,5,False
5,DRIAMS-B,Staphylococcus aureus,Fusidic acid,0.66319,,,0.110114,0.568182,,,0.0455457,0.568182,,,0.568182,1056,,,,0.526012,interpretable,partially_retained_or_uncertain,346,20,182,6,1,5,5,False
5,DRIAMS-B,Staphylococcus aureus,Gentamicin,0.61875,,,0.0406785,,,,,,,,,0,,,,0,not_interpretable_no_valid_strata,insufficient_matched_overlap,348,8,0,0,0,5,5,False
5,DRIAMS-B,Staphylococcus aureus,Oxacillin,0.774799,,,0.278532,0.811553,,,0.322582,0.811553,,,0.811553,1056,,,,0.526012,interpretable,focal_signal_retained,346,21,182,6,1,5,5,False
5,DRIAMS-B,Staphylococcus aureus,Penicillin,0.554957,,,0.709894,0.562951,,,0.714091,0.562693,,,0.579777,16170,,,,0.83908,interpretable,weak_raw_signal,348,227,292,190,2,5,5,False
5,DRIAMS-C,Staphylococcus aureus,Ciprofloxacin,0.630045,,,0.215207,0.740311,,,0.348637,0.694617,,,0.531361,3380,,,,0.621951,interpretable,focal_signal_retained,738,33,459,19,3,5,5,False
5,DRIAMS-C,Staphylococcus aureus,Clindamycin,0.542777,,,0.187903,0.507841,,,0.109179,0.500144,,,0.516771,17232,,,,0.930876,interpretable,weak_raw_signal,651,79,606,64,3,5,5,False
5,DRIAMS-C,Staphylococcus aureus,Fusidic acid,0.474021,,,0.037439,0.349196,,,0.0168844,0.349196,,,0.349196,2984,,,,0.585253,interpretable,weak_raw_signal,651,17,381,8,1,5,5,False
5,DRIAMS-C,Staphylococcus aureus,Gentamicin,0.556662,,,0.0517925,,,,,,,,,0,,,,0,not_interpretable_no_valid_strata,insufficient_matched_overlap,738,15,0,0,0,5,5,False
5,DRIAMS-C,Staphylococcus aureus,Oxacillin,0.655772,,,0.200428,0.615823,,,0.165746,0.622116,,,0.658681,8807,,,,0.596206,interpretable,focal_signal_retained,738,41,440,29,2,5,5,False
5,DRIAMS-C,Staphylococcus aureus,Penicillin,0.584588,,,0.799796,0.566755,,,0.771444,0.560457,,,0.549748,56133,,,,0.884824,interpretable,weak_raw_signal,738,547,653,472,3,5,5,False
5,DRIAMS-D,Staphylococcus aureus,Ciprofloxacin,0.758416,,,0.324865,0.792776,,,0.343988,0.731012,,,0.778555,44336,,,,0.792226,interpretable,focal_signal_retained,2161,138,1712,110,5,5,5,False
5,DRIAMS-D,Staphylococcus aureus,Clindamycin,0.695956,,,0.597864,0.615385,,,0.864849,0.615385,,,0.615385,65,,,,0.166667,caution_low_n_matched_and_low_pairwise,caution_low_matched_support,108,40,18,13,1,5,5,False
5,DRIAMS-D,Staphylococcus aureus,Erythromycin,0.572875,,,0.301613,0.550382,,,0.249776,0.528918,,,0.532696,154073,,,,0.94755,interpretable,weak_raw_signal,1735,344,1644,290,5,5,5,False
5,DRIAMS-D,Staphylococcus aureus,Gentamicin,0.53284,,,0.0205662,0.579643,,,0.0860354,0.579643,,,0.579643,1287,,,,0.0703053,caution_low_retention,caution_low_matched_support,2162,25,152,9,1,5,5,False
5,DRIAMS-D,Staphylococcus aureus,Penicillin,0.602131,,,0.917923,0.587748,,,0.909687,0.589599,,,0.601029,86332,,,,0.894771,interpretable,partially_retained_or_uncertain,1530,1344,1369,1197,5,5,5,False
