organism,drug_a,drug_b,n_both_known,n_rr,prevalence_a,prevalence_b,rr_observed,rr_expected_independent,rr_lift,phi
Escherichia coli,Amoxicillin/Clavulanic acid,Ceftazidime,1843,380,0.3950081389039609,0.3347802495930548,0.20618556701030927,0.13224092333355608,1.5591661175129572,0.32052835190811674
Escherichia coli,Norfloxacin,Trimethoprim/Sulfamethoxazole,348,81,0.5172413793103449,0.3132183908045977,0.23275862068965517,0.16200951248513673,1.4366972477064222,0.3052645442549702
Staphylococcus epidermidis,Erythromycin,Trimethoprim/Sulfamethoxazole,597,218,0.7018425460636516,0.4271356783919598,0.36515912897822445,0.29978199203723815,1.2180822687070052,0.2889178697052405
Escherichia coli,Ciprofloxacin,Amoxicillin/Clavulanic acid,1726,424,0.46523754345307067,0.38180764774044035,0.24565469293163383,0.17763125210635783,1.3829474826003396,0.28070919492407287
Escherichia coli,Cefepime,Trimethoprim/Sulfamethoxazole,1839,333,0.30777596519847744,0.38553561718325174,0.18107667210440456,0.118658596696966,1.5260307903930785,0.277836356622784
Escherichia coli,Amoxicillin/Clavulanic acid,Cefepime,1840,345,0.39402173913043476,0.31630434782608696,0.1875,0.12463078922495273,1.5044436544614292,0.27667212431509614
Escherichia coli,Cefotaxime,Trimethoprim/Sulfamethoxazole,1842,346,0.3262757871878393,0.38599348534201955,0.18783930510314875,0.12594032827934512,1.4914944852812122,0.27118988843853736
Escherichia coli,Ceftazidime,Trimethoprim/Sulfamethoxazole,1842,346,0.3262757871878393,0.38599348534201955,0.18783930510314875,0.12594032827934512,1.4914944852812122,0.27118988843853736
Staphylococcus aureus,Oxacillin,Penicillin,1993,617,0.30958354239839436,0.8595082789764175,0.30958354239839436,0.2660896177262667,1.1634559252772914,0.27072832685067666
Escherichia coli,Levofloxacin,Amoxicillin/Clavulanic acid,1803,428,0.447032723239046,0.3932334997226844,0.23738214087631726,0.17578824224985226,1.3503869077826038,0.25361928199539535
Escherichia coli,Norfloxacin,Amoxicillin/Clavulanic acid,348,42,0.5172413793103449,0.15517241379310345,0.1206896551724138,0.08026159334126041,1.5037037037037035,0.22344980016800042
Escherichia coli,Amoxicillin/Clavulanic acid,Trimethoprim/Sulfamethoxazole,1817,362,0.3896532746285085,0.3869014859658778,0.1992294991744634,0.15075743096524022,1.321523575314833,0.2040792010523691
Staphylococcus aureus,Oxacillin,Erythromycin,1995,334,0.3092731829573935,0.3954887218045113,0.1674185463659148,0.12231405581623231,1.36875966746985,0.19958423586438206
Staphylococcus aureus,Oxacillin,Trimethoprim/Sulfamethoxazole,2002,10,0.3081918081918082,0.006493506493506494,0.004995004995004995,0.0020012455077390145,2.4959481361426255,0.08072136865794907
Staphylococcus aureus,Erythromycin,Penicillin,1991,696,0.3962832747363134,0.8593671521848317,0.3495730788548468,0.34055282926862496,1.0264870786878906,0.05304767065597063
Staphylococcus aureus,Trimethoprim/Sulfamethoxazole,Penicillin,1998,13,0.0065065065065065065,0.8598598598598599,0.0065065065065065065,0.005594683772861951,1.1629802095459836,0.03267073135396445
Staphylococcus aureus,Erythromycin,Trimethoprim/Sulfamethoxazole,2001,5,0.3983008495752124,0.006496751624187906,0.0024987506246876563,0.002587661691393184,0.9656403822024903,-0.002260620843712339
Staphylococcus aureus,Clindamycin,Penicillin,1810,466,0.305524861878453,0.8591160220994475,0.2574585635359116,0.2624813039894997,0.9808643877592553,-0.031342410561463065
Staphylococcus aureus,Clindamycin,Trimethoprim/Sulfamethoxazole,1818,1,0.3063806380638064,0.007150715071507151,0.00055005500550055,0.002190840646220838,0.2510702941582654,-0.04224197199360073
Staphylococcus aureus,Oxacillin,Clindamycin,1809,122,0.3062465450525152,0.3056937534549475,0.06744057490326147,0.09361765583971304,0.7203830762300808,-0.12327193662475198
Staphylococcus aureus,Oxacillin,Ciprofloxacin,535,440,0.822429906542056,1.0,0.822429906542056,0.822429906542056,1.0,
Staphylococcus aureus,Oxacillin,Levofloxacin,480,426,0.8875,1.0,0.8875,0.8875,1.0,
Staphylococcus aureus,Erythromycin,Ciprofloxacin,535,283,0.5289719626168224,1.0,0.5289719626168224,0.5289719626168224,1.0,
Staphylococcus aureus,Erythromycin,Levofloxacin,480,246,0.5125,1.0,0.5125,0.5125,1.0,
Staphylococcus aureus,Clindamycin,Ciprofloxacin,464,113,0.2435344827586207,1.0,0.2435344827586207,0.2435344827586207,1.0,
Staphylococcus aureus,Clindamycin,Levofloxacin,411,96,0.23357664233576642,1.0,0.23357664233576642,0.23357664233576642,1.0,
Staphylococcus aureus,Ciprofloxacin,Levofloxacin,478,478,1.0,1.0,1.0,1.0,1.0,
Staphylococcus aureus,Ciprofloxacin,Trimethoprim/Sulfamethoxazole,537,9,1.0,0.01675977653631285,0.01675977653631285,0.01675977653631285,1.0,
Staphylococcus aureus,Ciprofloxacin,Penicillin,537,519,1.0,0.9664804469273743,0.9664804469273743,0.9664804469273743,1.0,
Staphylococcus aureus,Levofloxacin,Trimethoprim/Sulfamethoxazole,482,9,1.0,0.01867219917012448,0.01867219917012448,0.01867219917012448,1.0,
Staphylococcus aureus,Levofloxacin,Penicillin,482,473,1.0,0.9813278008298755,0.9813278008298755,0.9813278008298755,1.0,
Staphylococcus epidermidis,Oxacillin,Ciprofloxacin,360,344,0.9555555555555556,1.0,0.9555555555555556,0.9555555555555556,1.0,
Staphylococcus epidermidis,Oxacillin,Levofloxacin,352,339,0.9630681818181818,1.0,0.9630681818181818,0.9630681818181818,1.0,
Staphylococcus epidermidis,Erythromycin,Ciprofloxacin,360,310,0.8611111111111112,1.0,0.8611111111111112,0.8611111111111112,1.0,
