sensitivity_threshold,site,organism,drug,raw_auc,raw_auc_ci_low,raw_auc_ci_high,raw_aupr,matched_auc,matched_auc_ci_low,matched_auc_ci_high,matched_aupr,stratum_centered_auc,stratum_centered_auc_ci_low,stratum_centered_auc_ci_high,pairwise_accuracy,pairwise_comparisons,permutation_p,permutation_null_mean,permutation_null_std,matched_retention,adequacy_label,interpretation_category,n_total,n_r,n_matched,n_matched_r,n_valid_strata,min_pos_per_stratum,min_neg_per_stratum,match_year
3,DRIAMS-D,Staphylococcus aureus,Erythromycin,0.576706,,,0.246264,0.576499,,,0.224775,0.5686,,,0.564591,154115,,,,0.959078,interpretable,weak_raw_signal,1735,344,1664,302,7,3,3,False
3,DRIAMS-D,Staphylococcus aureus,Gentamicin,0.515826,,,0.0129401,0.499658,,,0.0127776,0.441553,,,0.461715,4362,,,,0.547179,interpretable,weak_raw_signal,2162,25,1183,15,3,3,3,False
3,DRIAMS-D,Staphylococcus aureus,Penicillin,0.572733,,,0.907597,0.567971,,,0.901558,0.571057,,,0.573815,86554,,,,0.940523,interpretable,weak_raw_signal,1530,1344,1439,1257,8,3,3,False
5,A-2018,Staphylococcus aureus,Ciprofloxacin,0.760738,,,0.512681,0.771807,,,0.512163,0.693503,,,0.665543,11568,,,,0.822485,interpretable,focal_signal_retained,1183,155,973,114,9,5,5,False
5,A-2018,Staphylococcus aureus,Clindamycin,0.625962,,,0.23682,0.590716,,,0.16313,0.520008,,,0.417597,6899,,,,0.712413,interpretable,background_driven_collapse,1144,149,815,77,6,5,5,False
5,A-2018,Staphylococcus aureus,Erythromycin,0.630668,,,0.285524,0.596608,,,0.232402,0.535481,,,0.465227,7362,,,,0.601045,interpretable,background_driven_collapse,1148,181,690,92,6,5,5,False
5,A-2018,Staphylococcus aureus,Fusidic acid,0.646576,,,0.10192,0.665733,,,0.0930538,0.634124,,,0.642,13081,,,,0.662295,interpretable,focal_signal_retained,1220,71,808,39,3,5,5,False
5,A-2018,Staphylococcus aureus,Gentamicin,0.765831,,,0.115957,,,,,,,,,0,,,,0,not_interpretable_no_valid_strata,insufficient_matched_overlap,1165,28,0,0,0,5,5,False
5,A-2018,Staphylococcus aureus,Oxacillin,0.838238,,,0.665199,0.83586,,,0.719099,0.764687,,,0.769906,32026,,,,0.577143,interpretable,focal_signal_retained,1225,178,707,147,7,5,5,False
5,A-2018,Staphylococcus aureus,Penicillin,0.626836,,,0.82444,0.568899,,,0.71695,0.571484,,,0.556507,110543,,,,0.748677,interpretable,partially_retained_or_uncertain,1134,812,849,553,6,5,5,False
5,DRIAMS-B,Staphylococcus aureus,Ciprofloxacin,0.710736,,,0.24778,,,,,,,,,0,,,,0,not_interpretable_no_valid_strata,insufficient_matched_overlap,336,14,0,0,0,5,5,False
5,DRIAMS-B,Staphylococcus aureus,Clindamycin,0.585904,,,0.169651,,,,,,,,,0,,,,0,not_interpretable_no_valid_strata,insufficient_matched_overlap,348,37,0,0,0,5,5,False
5,DRIAMS-B,Staphylococcus aureus,Erythromycin,0.605093,,,0.18753,,,,,,,,,0,,,,0,not_interpretable_no_valid_strata,insufficient_matched_overlap,347,38,0,0,0,5,5,False
5,DRIAMS-B,Staphylococcus aureus,Fusidic acid,0.660429,,,0.103019,0.588068,,,0.0506839,0.588068,,,0.588068,1056,,,,0.526012,interpretable,partially_retained_or_uncertain,346,20,182,6,1,5,5,False
5,DRIAMS-B,Staphylococcus aureus,Gentamicin,0.580147,,,0.0676256,,,,,,,,,0,,,,0,not_interpretable_no_valid_strata,insufficient_matched_overlap,348,8,0,0,0,5,5,False
5,DRIAMS-B,Staphylococcus aureus,Oxacillin,0.775238,,,0.260976,0.863636,,,0.27763,0.863636,,,0.863636,1056,,,,0.526012,interpretable,focal_signal_retained,346,21,182,6,1,5,5,False
5,DRIAMS-B,Staphylococcus aureus,Penicillin,0.531911,,,0.668417,0.52678,,,0.657691,0.52678,,,0.532777,16170,,,,0.83908,interpretable,weak_raw_signal,348,227,292,190,2,5,5,False
5,DRIAMS-C,Staphylococcus aureus,Ciprofloxacin,0.576531,,,0.083435,0.666627,,,0.143417,0.614115,,,0.504734,3380,,,,0.621951,interpretable,weak_raw_signal,738,33,459,19,3,5,5,False
5,DRIAMS-C,Staphylococcus aureus,Clindamycin,0.529565,,,0.145691,0.518998,,,0.119667,0.51574,,,0.539055,17232,,,,0.930876,interpretable,weak_raw_signal,651,79,606,64,3,5,5,False
5,DRIAMS-C,Staphylococcus aureus,Fusidic acid,0.459733,,,0.024279,0.505362,,,0.0236518,0.505362,,,0.505362,2984,,,,0.585253,interpretable,weak_raw_signal,651,17,381,8,1,5,5,False
5,DRIAMS-C,Staphylococcus aureus,Gentamicin,0.488704,,,0.0200927,,,,,,,,,0,,,,0,not_interpretable_no_valid_strata,insufficient_matched_overlap,738,15,0,0,0,5,5,False
5,DRIAMS-C,Staphylococcus aureus,Oxacillin,0.725199,,,0.132116,0.703499,,,0.141011,0.699471,,,0.719428,8807,,,,0.596206,interpretable,focal_signal_retained,738,41,440,29,2,5,5,False
5,DRIAMS-C,Staphylococcus aureus,Penicillin,0.552208,,,0.776848,0.529778,,,0.742184,0.534273,,,0.533073,56133,,,,0.884824,interpretable,weak_raw_signal,738,547,653,472,3,5,5,False
5,DRIAMS-D,Staphylococcus aureus,Ciprofloxacin,0.656042,,,0.191893,0.681109,,,0.211024,0.652298,,,0.66914,44336,,,,0.792226,interpretable,focal_signal_retained,2161,138,1712,110,5,5,5,False
5,DRIAMS-D,Staphylococcus aureus,Clindamycin,0.483088,,,0.3932,0.184615,,,0.601912,0.184615,,,0.184615,65,,,,0.166667,caution_low_n_matched_and_low_pairwise,caution_low_matched_support,108,40,18,13,1,5,5,False
5,DRIAMS-D,Staphylococcus aureus,Erythromycin,0.576706,,,0.246264,0.574561,,,0.217486,0.566388,,,0.564518,154073,,,,0.94755,interpretable,weak_raw_signal,1735,344,1644,290,5,5,5,False
5,DRIAMS-D,Staphylococcus aureus,Gentamicin,0.515826,,,0.0129401,0.482517,,,0.0614405,0.482517,,,0.482517,1287,,,,0.0703053,caution_low_retention,caution_low_matched_support,2162,25,152,9,1,5,5,False
5,DRIAMS-D,Staphylococcus aureus,Penicillin,0.572733,,,0.907597,0.559451,,,0.897889,0.560796,,,0.573495,86332,,,,0.894771,interpretable,weak_raw_signal,1530,1344,1369,1197,5,5,5,False
