site,organism,drug,stratum_type,stratum_value,n,n_r,n_s,auc,mean_prob,mean_prob_r,mean_prob_s,background_known_count,background_resistant_count,adequacy_label,interpretation
A-2018,Escherichia coli,Amoxicillin-Clavulanic acid,exact_background_signature,Ciprofloxacin=S|Norfloxacin=U|Ceftriaxone=R|Ceftazidime=R|Cefepime=R,7,5,2,0.7,0.663485,0.706224,0.556637,4,3,underpowered_low_n,do_not_overinterpret
A-2018,Escherichia coli,Amoxicillin-Clavulanic acid,exact_background_signature,Ciprofloxacin=S|Norfloxacin=U|Ceftriaxone=R|Ceftazidime=R|Cefepime=S,3,2,1,0.5,0.457607,0.459096,0.454631,4,2,underpowered_low_n,do_not_overinterpret
A-2018,Escherichia coli,Amoxicillin-Clavulanic acid,exact_background_signature,Ciprofloxacin=S|Norfloxacin=U|Ceftriaxone=R|Ceftazidime=R|Cefepime=U,10,8,2,0.9375,0.531586,0.576922,0.350241,3,2,underpowered_low_n,do_not_overinterpret
A-2018,Escherichia coli,Amoxicillin-Clavulanic acid,exact_background_signature,Ciprofloxacin=S|Norfloxacin=U|Ceftriaxone=R|Ceftazidime=S|Cefepime=U,4,1,3,0,0.759595,0.540125,0.832752,3,1,underpowered_low_n,do_not_overinterpret
A-2018,Escherichia coli,Amoxicillin-Clavulanic acid,exact_background_signature,Ciprofloxacin=S|Norfloxacin=U|Ceftriaxone=R|Ceftazidime=U|Cefepime=S,4,4,0,,0.472434,0.472434,,3,1,underpowered_low_n,do_not_overinterpret
A-2018,Escherichia coli,Amoxicillin-Clavulanic acid,exact_background_signature,Ciprofloxacin=S|Norfloxacin=U|Ceftriaxone=R|Ceftazidime=U|Cefepime=U,15,7,8,0.553571,0.676135,0.651708,0.697508,2,1,underpowered_low_n,do_not_overinterpret
A-2018,Escherichia coli,Amoxicillin-Clavulanic acid,exact_background_signature,Ciprofloxacin=S|Norfloxacin=U|Ceftriaxone=S|Ceftazidime=R|Cefepime=S,1,1,0,,0.534434,0.534434,,4,1,underpowered_low_n,do_not_overinterpret
A-2018,Escherichia coli,Amoxicillin-Clavulanic acid,exact_background_signature,Ciprofloxacin=S|Norfloxacin=U|Ceftriaxone=S|Ceftazidime=S|Cefepime=S,567,108,459,0.560256,0.407747,0.424562,0.40379,4,0,interpretable,borderline_in_stratum
A-2018,Escherichia coli,Amoxicillin-Clavulanic acid,exact_background_signature,Ciprofloxacin=S|Norfloxacin=U|Ceftriaxone=S|Ceftazidime=U|Cefepime=S,14,7,7,0.326531,0.531123,0.479227,0.58302,3,0,underpowered_low_n,do_not_overinterpret
A-2018,Escherichia coli,Amoxicillin-Clavulanic acid,exact_background_signature,Ciprofloxacin=U|Norfloxacin=U|Ceftriaxone=R|Ceftazidime=R|Cefepime=R,2,0,2,,0.481098,,0.481098,3,3,underpowered_low_n,do_not_overinterpret
A-2018,Escherichia coli,Amoxicillin-Clavulanic acid,exact_background_signature,Ciprofloxacin=U|Norfloxacin=U|Ceftriaxone=R|Ceftazidime=R|Cefepime=U,2,1,1,1,0.834476,0.881217,0.787736,2,2,underpowered_low_n,do_not_overinterpret
A-2018,Escherichia coli,Amoxicillin-Clavulanic acid,exact_background_signature,Ciprofloxacin=U|Norfloxacin=U|Ceftriaxone=R|Ceftazidime=S|Cefepime=U,1,1,0,,0.684056,0.684056,,2,1,underpowered_low_n,do_not_overinterpret
A-2018,Escherichia coli,Amoxicillin-Clavulanic acid,exact_background_signature,Ciprofloxacin=U|Norfloxacin=U|Ceftriaxone=R|Ceftazidime=U|Cefepime=S,2,0,2,,0.497558,,0.497558,2,1,underpowered_low_n,do_not_overinterpret
A-2018,Escherichia coli,Amoxicillin-Clavulanic acid,exact_background_signature,Ciprofloxacin=U|Norfloxacin=U|Ceftriaxone=R|Ceftazidime=U|Cefepime=U,12,7,5,0.457143,0.754795,0.745333,0.768042,1,1,underpowered_low_n,do_not_overinterpret
A-2018,Escherichia coli,Amoxicillin-Clavulanic acid,exact_background_signature,Ciprofloxacin=U|Norfloxacin=U|Ceftriaxone=S|Ceftazidime=S|Cefepime=S,23,5,18,0.322222,0.499666,0.449379,0.513635,3,0,underpowered_low_n,do_not_overinterpret
A-2018,Escherichia coli,Amoxicillin-Clavulanic acid,exact_background_signature,Ciprofloxacin=U|Norfloxacin=U|Ceftriaxone=U|Ceftazidime=R|Cefepime=S,2,0,2,,0.569124,,0.569124,2,1,underpowered_low_n,do_not_overinterpret
A-2018,Escherichia coli,Amoxicillin-Clavulanic acid,exact_background_signature,Ciprofloxacin=U|Norfloxacin=U|Ceftriaxone=U|Ceftazidime=U|Cefepime=U,2,0,2,,0.61867,,0.61867,0,0,underpowered_low_n,do_not_overinterpret
A-2018,Escherichia coli,Cefepime,background_resistance_burden,0,793,0,793,,0.111876,,0.111876,4,0,underpowered_low_resistant,do_not_overinterpret
A-2018,Escherichia coli,Cefepime,background_resistance_burden,1,243,0,243,,0.180662,,0.180662,4,1,underpowered_low_resistant,do_not_overinterpret
A-2018,Escherichia coli,Cefepime,background_resistance_burden,2,101,8,93,0.74328,0.307678,0.657983,0.277544,4,2,interpretable,signal_retained_in_stratum
A-2018,Escherichia coli,Cefepime,background_resistance_burden,3,46,17,29,0.78499,0.502695,0.711116,0.380517,4,3,interpretable,signal_retained_in_stratum
A-2018,Escherichia coli,Cefepime,background_resistance_burden,4,39,32,7,0.84375,0.610923,0.698189,0.211992,4,4,interpretable,signal_retained_in_stratum
A-2018,Escherichia coli,Cefepime,background_resistance_burden,5,8,8,0,,0.440578,0.440578,,5,5,underpowered_low_n,do_not_overinterpret
A-2018,Escherichia coli,Cefepime,background_resistance_burden_bin,multi,194,65,129,0.778414,0.420361,0.664916,0.297136,4,2,interpretable,signal_retained_in_stratum
A-2018,Escherichia coli,Cefepime,background_resistance_burden_bin,none,793,0,793,,0.111876,,0.111876,4,0,underpowered_low_resistant,do_not_overinterpret
A-2018,Escherichia coli,Cefepime,background_resistance_burden_bin,single,243,0,243,,0.180662,,0.180662,4,1,underpowered_low_resistant,do_not_overinterpret
A-2018,Escherichia coli,Cefepime,exact_background_signature,Ciprofloxacin=R|Norfloxacin=R|Amoxicillin-Clavulanic acid=R|Ceftriaxone=R|Ceftazidime=R,8,8,0,,0.440578,0.440578,,5,5,underpowered_low_n,do_not_overinterpret
