site,organism,drug,raw_auc,raw_auc_ci_low,raw_auc_ci_high,raw_aupr,matched_auc,matched_auc_ci_low,matched_auc_ci_high,matched_aupr,stratum_centered_auc,stratum_centered_auc_ci_low,stratum_centered_auc_ci_high,pairwise_accuracy,pairwise_comparisons,permutation_p,permutation_null_mean,permutation_null_std,matched_retention,adequacy_label,n_total,n_r,n_matched,n_matched_r,n_valid_strata,min_pos_per_stratum,min_neg_per_stratum,match_year
DRIAMS-B,Escherichia coli,Ciprofloxacin,0.8158307210031348,0.7442971387448758,0.8774593118016685,0.7114446925299959,0.51,0.20833333333333334,0.8097738095238095,0.8438494826448286,0.51,0.20029761904761909,0.8191363636363636,0.51,100,0.5369261477045908,0.51246,0.15162099542116525,0.1179245283018868,caution_low_n_matched,212,58,25,20,1,3,3,False
DRIAMS-B,Escherichia coli,Norfloxacin,0.7632850241545893,0.6935977533114133,0.838404452690167,0.6940939084360079,0.6275229357798165,0.2993057277460949,0.8714714714714716,0.09888545843831695,0.6275229357798165,0.3140142374517376,0.8899600493350495,0.6275229357798165,545,0.16766467065868262,0.49457614678899087,0.1318786424090719,0.5428571428571428,interpretable,210,69,114,5,1,3,3,False
DRIAMS-C,Escherichia coli,Amoxicillin-Clavulanic acid,0.5928571428571429,0.5516546105303596,0.6397261598894144,0.36691570488579456,0.6190058790196912,0.5700868668647039,0.6670967020040641,0.37588158742595873,0.518380790480238,0.4632289256979313,0.5727631069527898,0.5410984150387026,24417,0.03592814371257485,0.47547253506162346,0.02351390414026592,0.8924611973392461,interpretable,902,230,805,181,10,3,3,False
DRIAMS-C,Escherichia coli,Cefepime,0.6840208392806166,0.6192415677072223,0.7472029864371413,0.43733907221317375,0.21212121212121213,0.06117886178861789,0.37249999999999983,0.1607093851009069,0.33585858585858586,0.16348753370812197,0.5084566145092461,0.25396825396825395,126,0.9920159680638723,0.519,0.08459958217151214,0.07717569786535304,caution_low_n_matched_and_low_retention,609,113,47,11,3,3,3,False
DRIAMS-C,Escherichia coli,Ceftazidime,0.6366766144951399,0.5807586206896551,0.6963090005322055,0.28828562175116124,0.24615384615384617,0.10582315694255995,0.373134328358209,0.03796200212665104,0.24615384615384617,0.10736596736596739,0.3918549210352488,0.24615384615384617,195,0.9341317365269461,0.4987794871794872,0.16925625387164478,0.07488986784140969,caution_low_n_matched_and_low_retention,908,139,68,3,1,3,3,False
DRIAMS-C,Escherichia coli,Ceftriaxone,0.6593004769475358,0.6065510174994689,0.7103960857054594,0.3273272447325746,0.7268518518518519,0.5041304347826088,0.9046902173913044,0.585983645983646,0.7175925925925926,0.4775211352657005,0.9160164835164835,0.7521367521367521,117,0.00998003992015968,0.47356481481481477,0.11055594492782138,0.03614457831325301,caution_low_n_matched_and_low_retention,913,148,33,9,2,3,3,False
DRIAMS-C,Escherichia coli,Ciprofloxacin,0.8135630677315125,0.7763947506773171,0.8446929303938379,0.6775075793718224,0.774488256841198,0.7073804650113714,0.8393942039106145,0.5595985447893811,0.6365007541478129,0.5443912271227731,0.7296407396950875,0.7332135949157226,7238,0.001996007984031936,0.4343268261150614,0.03618832777399101,0.4762979683972912,interpretable,886,188,422,65,4,3,3,False
DRIAMS-C,Escherichia coli,Norfloxacin,0.8369690311780708,0.7925956010179257,0.8823814547342584,0.7563185008618177,,,,,,,,,0,,,,0.0,not_interpretable_no_valid_strata,442,118,0,0,0,3,3,False
DRIAMS-D,Escherichia coli,Amoxicillin-Clavulanic acid,0.5798990184564975,0.5445031497487701,0.6130666784740473,0.2622847225855813,0.5747980812270007,0.5392742321756216,0.61188978755269,0.24973647589826853,0.4491390476643177,0.4129075717741282,0.4872698033084161,0.4858047661280993,207464,0.8502994011976048,0.4665363057678063,0.0163666147053615,0.9744232698094283,interpretable,1994,332,1943,309,11,3,3,False
DRIAMS-D,Escherichia coli,Cefepime,0.8115436787845903,0.7644181568906359,0.8611916280184778,0.34154644544382423,0.6469489414694894,0.5066666666666667,0.7737229710174887,0.8665149015718792,0.5572851805728518,0.42662616723259766,0.6860807267779612,0.669833729216152,421,0.027944111776447105,0.44439476961394775,0.05817131829579456,0.04940197607904316,caution_low_n_matched_and_low_retention,1923,80,95,73,4,3,3,False
DRIAMS-D,Escherichia coli,Ceftazidime,0.7573151719554537,0.7150853366532647,0.7938809950276331,0.37423762222106166,0.7480635049044393,0.6800987959787032,0.8213368806213759,0.17370949062457247,0.4377591263019517,0.3251799484719261,0.5423345394729272,0.7616754935002408,6231,0.007984031936127744,0.34464722418849225,0.034777988288606634,0.8339204831404127,interpretable,1987,178,1657,62,8,3,3,False
DRIAMS-D,Escherichia coli,Ceftriaxone,0.7502390272434816,0.7123456887027384,0.7878796911434738,0.4370267577297089,0.6780686060983199,0.5617078624787031,0.7873053294473201,0.19164824198509306,0.5200684505289359,0.3982379307970117,0.6425460877886993,0.39622641509433965,11236,0.06387225548902195,0.4302590619166148,0.05736872546265989,0.8219658976930793,interpretable,1994,198,1639,32,6,3,3,False
DRIAMS-D,Escherichia coli,Ciprofloxacin,0.7226882666813356,0.6910202816770076,0.7537731136386946,0.49942466567595367,0.7192119480255074,0.6915313643191361,0.747835998502832,0.48656983419382405,0.5761039489853049,0.5372585647348005,0.6135918752410123,0.6879163741977244,237917,0.001996007984031936,0.44939803968617525,0.014852941541031162,0.9840123775141826,interpretable,1939,371,1908,354,10,3,3,False
