TGNR	code	run_accession	sample_accession	experiment_accession	inferred_year	has_medianpeaks	csv_file_count
131196-18	a91912d7-95d9-4241-ae7d-e60a8daa189d	ERR10176760	SAMEA111331022	ERX9713229	2018	True	0
713999-18	af21bd97-20e6-4123-a37a-b6301c37baeb	ERR10177171	SAMEA111331443	ERX9713640	2018	True	0
131615-18	b39e6c24-179b-415b-894a-de4758e9d825	ERR10176765	SAMEA111331027	ERX9713234	2018	True	0
714140-18	bb1c753d-9953-40b1-8ba2-c6950d41354a	ERR10177180	SAMEA111331452	ERX9713649	2018	True	0
713999-18	c10ce9ca-9cf2-4f9f-969b-6865ead6be67	ERR10177171	SAMEA111331443	ERX9713640	2018	True	0
130260-18	c11f680b-a784-4190-9fcf-5fdb79023fff	ERR10176742	SAMEA111331004	ERX9713211	2018	True	0
129950-18	c2267556-df42-44a8-969f-47b1006d267d	ERR10176738	SAMEA111331000	ERX9713207	2018	True	4
129347-18	c7f40c6f-473d-44ea-bb83-0cc496a21112	ERR10176736	SAMEA111330998	ERX9713205	2018	True	4
127083-18	c836fa58-59c9-446c-a284-29321ddda696	ERR10176725	SAMEA111330987	ERX9713194	2018	True	4
713467-18	c8ab5899-8bd0-447f-a1e2-e1cebd17b5ff	ERR10177150	SAMEA111331422	ERX9713619	2018	True	0
713440-18	caeff034-21e6-45cb-ba13-0a8d88bcabb2	ERR10177149	SAMEA111331421	ERX9713618	2018	True	0
129950-18	ce152f46-c5b0-4250-8922-5850f53b8e89	ERR10176738	SAMEA111331000	ERX9713207	2018	True	4
129347-18	ce1b6f48-9a71-4f7a-8097-c0ffbf11b4f0	ERR10176736	SAMEA111330998	ERX9713205	2018	True	4
128632-18	d0a428d5-399e-44f4-83e1-59908e5cc5d5	ERR10176733	SAMEA111330995	ERX9713202	2018	True	4
130949-18	d18d4918-0124-41aa-bba8-05b36d5195f2	ERR10176757	SAMEA111331019	ERX9713226	2018	True	0
713440-18	d483491e-2ec8-4bf5-be94-ad8ac617691b	ERR10177149	SAMEA111331421	ERX9713618	2018	True	0
712246-18	d87f8f52-aa6b-4ac8-9e33-ba15a57dc6b6	ERR10177095	SAMEA111331367	ERX9713564	2018	True	4
130292-18	db9003c5-4030-4ce0-8654-d90d467a5492	ERR10176743	SAMEA111331005	ERX9713212	2018	True	0
130852-18	dd561844-4ae2-4410-8521-a13c082fbcba	ERR10176745	SAMEA111331007	ERX9713214	2018	True	4
713440-18	deca27f0-5167-44f4-a7bd-9cb4e6ed8674	ERR10177149	SAMEA111331421	ERX9713618	2018	True	0
713999-18	e0b53793-0785-4465-9be2-fa19438b8dd6	ERR10177171	SAMEA111331443	ERX9713640	2018	True	0
719964-18	e377ad35-c86a-4c3f-8e0e-7cf358a7dceb	ERR10177390	SAMEA111331662	ERX9713859	2018	True	5
713467-18	e7778953-5d6d-401c-b043-ca071c792fe8	ERR10177150	SAMEA111331422	ERX9713619	2018	True	0
713467-18	e8a389ce-3151-4eef-a607-0f8bb6e127ca	ERR10177150	SAMEA111331422	ERX9713619	2018	True	0
131196-18	efa3904e-0218-450b-88df-e8b4a833a164	ERR10176760	SAMEA111331022	ERX9713229	2018	True	0
127487-18	f10abf25-8318-4c53-b6d6-38ea54034593	ERR10176729	SAMEA111330991	ERX9713198	2018	True	4
131185-18	f19d2699-9130-4e58-b3d1-43aa0aea19a9	ERR10176759	SAMEA111331021	ERX9713228	2018	True	0
130852-18	f60aaca2-31d2-4062-bbe0-b21c5882a4db	ERR10176745	SAMEA111331007	ERX9713214	2018	True	4
714049-18	ffb46dfa-fd17-4c15-aee9-8bf6e5c8a798	ERR10177173	SAMEA111331445	ERX9713642	2018	True	0
130949-18	ffc9c646-6767-4d11-8b0a-4f4027363332	ERR10176757	SAMEA111331019	ERX9713226	2018	True	0
