isolate_id	inferred_year	run_accession	sample_accession	experiment_accession	study_accession	scientific_name	fastq_1	fastq_2	submitted_fastq_1	submitted_fastq_2	bam_ftp
720107-19	2019	ERR10177406	SAMEA111331678	ERX9713875	PRJEB55855	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/006/ERR10177406/ERR10177406_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/006/ERR10177406/ERR10177406_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10177406/720107-19_R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10177406/720107-19_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR101/006/ERR10177406.bam
720135-18	2018	ERR10177409	SAMEA111331681	ERX9713878	PRJEB55855	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/009/ERR10177409/ERR10177409_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/009/ERR10177409/ERR10177409_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10177409/720135-18_R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10177409/720135-18_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR101/009/ERR10177409.bam
720141-18	2018	ERR10177410	SAMEA111331682	ERX9713879	PRJEB55855	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/010/ERR10177410/ERR10177410_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/010/ERR10177410/ERR10177410_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10177410/720141-18_R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10177410/720141-18_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR101/010/ERR10177410.bam
720197-19	2019	ERR10177418	SAMEA111331690	ERX9713887	PRJEB55855	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/018/ERR10177418/ERR10177418_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/018/ERR10177418/ERR10177418_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10177418/720197-19_R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10177418/720197-19_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR101/018/ERR10177418.bam
720214-19	2019	ERR10177421	SAMEA111331693	ERX9713890	PRJEB55855	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/021/ERR10177421/ERR10177421_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/021/ERR10177421/ERR10177421_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10177421/720214-19_R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10177421/720214-19_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR101/021/ERR10177421.bam
720223-18	2018	ERR10177424	SAMEA111331696	ERX9713893	PRJEB55855	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/024/ERR10177424/ERR10177424_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/024/ERR10177424/ERR10177424_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10177424/720223-18_R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10177424/720223-18_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR101/024/ERR10177424.bam
720237-18	2018	ERR10177427	SAMEA111331699	ERX9713896	PRJEB55855	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/027/ERR10177427/ERR10177427_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/027/ERR10177427/ERR10177427_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10177427/720237-18_R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10177427/720237-18_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR101/027/ERR10177427.bam
720253-18	2018	ERR10177430	SAMEA111331702	ERX9713899	PRJEB55855	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/030/ERR10177430/ERR10177430_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/030/ERR10177430/ERR10177430_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10177430/720253-18_R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10177430/720253-18_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR101/030/ERR10177430.bam
720498-18-wh	2018	ERR10177444	SAMEA111331716	ERX9713913	PRJEB55855	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/044/ERR10177444/ERR10177444_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/044/ERR10177444/ERR10177444_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10177444/720498-18-wh_R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10177444/720498-18-wh_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR101/044/ERR10177444.bam
720559-19	2019	ERR10177447	SAMEA111331719	ERX9713916	PRJEB55855	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/047/ERR10177447/ERR10177447_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/047/ERR10177447/ERR10177447_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10177447/720559-19_R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10177447/720559-19_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR101/047/ERR10177447.bam
720581-18	2018	ERR10177451	SAMEA111331723	ERX9713920	PRJEB55855	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/051/ERR10177451/ERR10177451_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/051/ERR10177451/ERR10177451_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10177451/720581-18_R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10177451/720581-18_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR101/051/ERR10177451.bam
720592-18	2018	ERR10177452	SAMEA111331724	ERX9713921	PRJEB55855	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/052/ERR10177452/ERR10177452_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/052/ERR10177452/ERR10177452_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10177452/720592-18_R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10177452/720592-18_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR101/052/ERR10177452.bam
